Name;Player;Pos;Age;MP;Starts;90s;Gls;Ast;G+A;G-PK;G+A-PK
Fernandes;Bruno Fernandes;MF;29;10;10;9.3;0.64;0.86;1.50;0.64;1.50
Dias;Rúben Dias;DF;26;9;9;9.0;0.00;0.00;0.00;0.00;0.00
Ronaldo;Cristiano Ronaldo;FW,MF;38;9;9;8.0;1.25;0.12;1.37;0.87;1.00
Bernardo;Bernardo Silva;MF,FW;29;9;9;7.4;0.40;0.54;0.94;0.40;0.94
Cancelo;João Cancelo;DF,MF;29;9;8;7.7;0.39;0.00;0.39;0.39;0.39
Costa;Diogo Costa;GK;24;7;7;7.0;0.00;0.00;0.00;0.00;0.00
Dalot;Diogo Dalot;DF,MF;24;6;6;6.0;0.00;0.00;0.00;0.00;0.00
Palhinha;João Palhinha;MF;28;6;6;5.8;0.00;0.17;0.17;0.00;0.17
Felix;João Félix;MF,FW;24;8;6;5.6;0.53;0.18;0.71;0.53;0.71
Danilo;Danilo Pereira;DF,MF;32;6;6;5.5;0.00;0.00;0.00;0.00;0.00
Silva;António Silva;DF;20;5;5;5.0;0.00;0.20;0.20;0.00;0.20
Leao;Rafael Leão;MF,FW;24;7;5;4.4;0.23;0.46;0.68;0.23;0.68
Inacio;Gonçalo Inácio;DF;22;5;4;4.3;0.47;0.47;0.94;0.47;0.94
Ramos;Gonçalo Ramos;FW;22;5;3;3.1;0.98;0.00;0.98;0.98;0.98
Neves;Rúben Neves;MF,DF;26;8;2;3.0;0.00;1.00;1.00;0.00;1.00
Otavio;Otávio;MF;28;8;2;2.6;0.38;0.38;0.77;0.38;0.77
Guerreiro;Raphaël Guerreiro;MF;30;4;2;2.4;0.00;0.00;0.00;0.00;0.00
Jota;Diogo Jota;MF;27;7;2;2.4;0.82;0.82;1.64;0.82;1.64
Patricio;Rui Patrício;GK;35;2;2;2.0;0.00;0.00;0.00;0.00;0.00
Vitinha;Vitinha;MF;23;6;1;1.5;0.00;0.00;0.00;0.00;0.00
Semedo;Nélson Semedo;DF;30;3;1;1.1;0.00;0.00;0.00;0.00;0.00
Gomes;Toti Gomes;DF;25;1;1;1.0;0.00;0.00;0.00;0.00;0.00
Mendes;Nuno Mendes;MF;21;1;1;1.0;0.00;1.00;1.00;0.00;1.00
Pepe;Pepe;DF;40;1;1;1.0;0.00;0.00;0.00;0.00;0.00
As;José Sá;GK;31;1;1;1.0;0.00;0.00;0.00;0.00;0.00
Lopes;João Mário Lopes;DF;24;2;1;0.7;0.00;0.00;0.00;0.00;0.00
Horta;Ricardo Horta;FW,MF;29;3;0;1.0;2.00;1.00;3.00;2.00;3.00
Neto;Pedro Neto;FW,MF;23;2;0;0.6;0.00;0.00;0.00;0.00;0.00
Bruma;Bruma;FW,MF;29;2;0;0.3;0.00;0.00;0.00;0.00;0.00
Neves;João Neves;MF;19;3;0;0.2;0.00;0.00;0.00;0.00;0.00
Mario;João Mário;FW,MF;31;1;0;0.0;0.00;0.00;0.00;0.00;0.00